#MAP=belgium
#PROTOCOL=G-NAV
#
X=3.852314;Y=50.751560;A=1678.0;S=104.5;V=103.7;H=187;C=188;WY=-2.5;WX=0.2;
#
X=3.852302;Y=50.751507;A=1677.9;S=104.4;V=103.6;H=186;C=187;WY=-2.5;WX=0.2;
X=3.852289;Y=50.751434;A=1677.9;S=104.2;V=103.4;H=185;C=186;WY=-2.5;WX=0.2;
#
X=3.852284;Y=50.751404;A=1677.8;S=104.1;V=103.3;H=184;C=185;WY=-2.5;WX=0.2;
X=3.852271;Y=50.751305;A=1677.8;S=103.8;V=103.1;H=183;C=184;WY=-2.5;WX=0.2;
#
X=3.852264;Y=50.751240;A=1677.7;S=103.6;V=102.9;H=182;C=183;WY=-2.5;WX=0.2;
X=3.852258;Y=50.751175;A=1677.7;S=103.4;V=102.7;H=182;C=182;WY=-2.5;WX=0.2;
#
X=3.852254;Y=50.751110;A=1677.7;S=103.1;V=102.5;H=181;C=181;WY=-2.5;WX=0.2;
X=3.852252;Y=50.751045;A=1677.7;S=102.9;V=102.3;H=180;C=181;WY=-2.5;WX=0.2;
#
X=3.852250;Y=50.750980;A=1677.7;S=102.7;V=102.2;H=180;C=180;WY=-2.5;WX=0.2;
X=3.852250;Y=50.750916;A=1677.7;S=102.5;V=101.9;H=179;C=179;WY=-2.5;WX=0.2;
#
X=3.852251;Y=50.750854;A=1677.8;S=102.2;V=101.7;H=178;C=179;WY=-2.5;WX=0.2;
X=3.852253;Y=50.750790;A=1677.8;S=101.9;V=101.5;H=178;C=178;WY=-2.5;WX=0.2;
#
X=3.852256;Y=50.750725;A=1677.9;S=101.7;V=101.3;H=177;C=177;WY=-2.5;WX=0.2;
X=3.852261;Y=50.750664;A=1677.9;S=101.5;V=101.0;H=176;C=176;WY=-2.5;WX=0.2;
#
X=3.852266;Y=50.750607;A=1677.9;S=101.2;V=100.8;H=176;C=176;WY=-2.5;WX=0.2;
X=3.852275;Y=50.750538;A=1678.0;S=101.0;V=100.6;H=175;C=175;WY=-2.5;WX=0.2;
#
X=3.852283;Y=50.750473;A=1678.0;S=100.7;V=100.4;H=174;C=174;WY=-2.5;WX=0.2;
X=3.852293;Y=50.750412;A=1678.1;S=100.5;V=100.2;H=173;C=173;WY=-2.5;WX=0.2;
#
X=3.852305;Y=50.750351;A=1678.1;S=100.3;V=99.9;H=173;C=172;WY=-2.5;WX=0.2;
X=3.852318;Y=50.750286;A=1678.1;S=100.0;V=99.7;H=172;C=172;WY=-2.5;WX=0.2;
#
X=3.852332;Y=50.750225;A=1678.1;S=99.7;V=99.5;H=171;C=171;WY=-2.5;WX=0.2;
X=3.852347;Y=50.750164;A=1678.1;S=99.5;V=99.2;H=171;C=170;WY=-2.5;WX=0.2;
#
X=3.852364;Y=50.750103;A=1678.1;S=99.2;V=99.0;H=170;C=170;WY=-2.5;WX=0.2;
X=3.852381;Y=50.750042;A=1678.1;S=99.0;V=98.8;H=170;C=169;WY=-2.5;WX=0.2;
#
X=3.852398;Y=50.749981;A=1678.1;S=98.8;V=98.6;H=170;C=169;WY=-2.5;WX=0.2;
X=3.852415;Y=50.749920;A=1678.0;S=98.7;V=98.5;H=170;C=169;WY=-2.5;WX=0.2;
#
X=3.852432;Y=50.749859;A=1677.8;S=98.7;V=98.5;H=170;C=169;WY=-2.5;WX=0.2;
X=3.852449;Y=50.749798;A=1677.6;S=98.8;V=98.6;H=170;C=169;WY=-2.5;WX=0.2;
#
X=3.852466;Y=50.749741;A=1677.4;S=98.8;V=98.7;H=170;C=170;WY=-2.5;WX=0.2;
X=3.852483;Y=50.749680;A=1677.1;S=99.0;V=98.8;H=170;C=170;WY=-2.5;WX=0.2;
#
